couteau,
Monsieur,
Madame,
Mademoiselle,
grand,
rectangulaire,
long,
rond,
mince,
étroit,
pointu,
court,
large,
bas,
carré,
épais,
gros,
haut,
petit,
chapeau,
manteau,
bateau,
bois,
cuir,
encrier,
fer,
papier,
soulier,
verre,
étoffe,
pierre,
léger,
lourd,
