attendre,
habiter,
monter,
sonner,
dire,
épouser,
mettre,
prendre,
visiter,
aller,
venir,
apporter,
ajouter,
arriver,
coucher,
passer,
remercier,
boire,
servir,
déjeuner,
manger,
préparer,
