chien,
cou,
coude,
genou,
doigt,
bec,
bras,
corps,
dos,
membre,
pied,
jambe,
main,
poitrine,
épaule,
aile,
bouche,
patte,
tête,
droit,
fort,
gauche,
robuste,
solide,
front,
menton,
cheveu,
yeux,
cil,
nez,
portrait,
sourcil,
visage,
dent,
langue,
joue,
fleur,
lèvre,
oreille,
beau,
belle,
blond,
laid,
maison,
