Futur: fermer,"Je fermerai, Tu fermeras, Il/elle fermera, Nous fermerons, Vous fermerez, Ils/elles fermeront",Fechar; encerrar; calar; ...
Passé composé (avec avoir): fermer,"J'ai fermé, Tu as fermé, Il/elle a fermé, Nous avons fermé, Vous avez fermé, Ils/elles ont fermé",Fechar; encerrar; calar; ...
Présent: ouvrir,"J'ouvre, Tu ouvres, Il/elle ouvre, Nous ouvrons, Vous ouvrez, Ils/elles ouvrent",Abrir; iniciar; encetar; ...
Futur: ouvrir,"J'ouvrirai, Tu ouvriras, Il/elle ouvrira, Nous ouvrirons, Vous ouvrirez, Ils/elles ouvriront",Abrir; iniciar; encetar; ...
Passé composé (avec avoir): ouvrir,"J'ai ouvert, Tu as ouvert, Il/elle a ouvert, Nous avons ouvert, Vous avez ouvert, Ils/elles ont ouvert",Abrir; iniciar; encetar; ...
Présent: sortir,"Je sors, Tu sors, Il/elle sort, Nous sortons, Vous sortez, Ils/elles sortent",Sair; tirar; ir; ...
Futur: sortir,"Je sortirai, Tu sortiras, Il/elle sortira, Nous sortirons, Vous sortirez, Ils/elles sortiront",Sair; tirar; ir; ...
Passé composé (avec avoir): sortir,"J'ai sorti, Tu as sorti, Il/elle a sorti, Nous avons sorti, Vous avez sorti, Ils/elles ont sorti",Sair; tirar; ir; ...
Passé composé (avec être): sortir,"Je suis sorti, Tu es sorti, Il est sorti, Elle est sortie, Nous sommes sortis, Vous êtes sortis, Ils sont sortis, Elles sont sorties",Sair; tirar; ir; ...
Présent: entrer,"J'entre, Tu entres, Il/elle entre, Nous entrons, Vous entrez, Ils/elles entrent",Entrar; inserir; digitar; ...
Futur: entrer,"J'entrerai, Tu entreras, Il/elle entrera, Nous entrerons, Vous entrerez, Ils/elles entreront",Entrar; inserir; digitar; ...
Passé composé (avec avoir): entrer,"J'ai entré, Tu as entré, Il/elle a entré, Nous avons entré, Vous avez entré, Ils/elles ont entré",Entrar; inserir; digitar; ...
Passé composé (avec être): entrer,"Je suis entré, Tu es entré, Il est entré, Elle est entrée, Nous sommes entrés, Vous êtes entrés, Ils sont entrés, Elles sont entrées",Entrar; inserir; digitar; ...
Présent: briller,"Je brille, Tu brilles, Il/elle brille, Nous brillons, Vous brillez, Ils/elles brillent",Brilhar; resplandecer; iluminar; ...
Futur: briller,"Je brillerai, Tu brilleras, Il/elle brillera, Nous brillerons, Vous brillerez, Ils/elles brilleront",Brilhar; resplandecer; iluminar; ...
Passé composé (avec avoir): briller,"J'ai brillé, Tu as brillé, Il/elle a brillé, Nous avons brillé, Vous avez brillé, Ils/elles ont brillé",Brilhar; resplandecer; iluminar; ...
Présent: donner,"Je donne, Tu donnes, Il/elle donne, Nous donnons, Vous donnez, Ils/elles donnent",Dar; fornecer; fazer; ...
Futur: donner,"Je donnerai, Tu donneras, Il/elle donnera, Nous donnerons, Vous donnerez, Ils/elles donneront",Dar; fornecer; fazer; ...
Passé composé (avec avoir): donner,"J'ai donné, Tu as donné, Il/elle a donné, Nous avons donné, Vous avez donné, Ils/elles ont donné",Dar; fornecer; fazer; ...
